request_num,elapsed_s,response_time_ms,ok,status_code
1,1.9481542110443115,1948.138952255249,True,200
2,4.762625217437744,2814.393997192383,True,200
3,6.506709098815918,1744.006872177124,True,200
4,8.391025304794312,1884.2401504516602,True,200
5,9.992135286331177,1601.0401248931885,True,200
6,12.785412311553955,2793.2112216949463,True,200
7,15.96821403503418,3182.7850341796875,True,200
8,18.807537317276,2839.247226715088,True,200
9,21.408672094345093,2601.067066192627,True,200
10,23.40075421333313,1992.002010345459,True,200
11,24.99103617668152,1590.2009010314941,True,200
12,26.564242362976074,1573.1151103973389,True,200
13,28.160399198532104,1596.0829257965088,True,200
14,30.55977439880371,2399.2271423339844,True,200
